model,log_likelihood,n_params,AIC,BIC,converged
final_lognormal_significant_features,-1462.1003314533987,10,2944.2006629067973,2993.2782156966186,True
lognormal,-1457.0120049840734,20,2954.024009968147,3052.1791155477895,True
loglogistic,-1458.10307867525,20,2956.2061573505,3054.3612629301424,True
weibull,-1462.1716244374875,20,2964.343248874975,3062.4983544546176,True
exponential,-1467.5975070113109,19,2973.1950140226218,3066.442364323282,True
