term,coef,se,z,p_value,time_ratio
Intercept,4.564606222200319,0.14822790657167279,30.794513177538473,3.1034015623953216e-208,96.02477414642647
age_z,0.4622654446213034,0.08033059107940546,5.754538070862216,8.687902539486251e-09,1.5876666848782985
address_z,0.4317348740403427,0.08919571591846949,4.840309532746793,1.2963705153190302e-06,1.5399267864671864
marital_Unmarried,-0.4473320428803248,0.1144715072409653,-3.9078025061614676,9.313938936735099e-05,0.6393315875251505
voice_Yes,-0.4635127100283906,0.1667699614970012,-2.779353702955225,0.005446718180134562,0.6290700193042604
internet_Yes,-0.8405463344578944,0.13825875931571172,-6.079515964254532,1.205458806918638e-09,0.43147472951133087
custcat_E-service,1.0258197080908196,0.16904569170938646,6.06829844474445,1.2927251707350306e-09,2.7893810018751393
custcat_Plus service,0.8225263275502823,0.1694239686842678,4.854840397955214,1.204837417138294e-06,2.2762431154708933
custcat_Total service,1.013283023638434,0.2095778271624329,4.834877035217523,1.332279636684488e-06,2.754629700635634
log_sigma,0.2830270873013083,0.046019546382682845,6.150149437540119,7.740997620247783e-10,1.3271411100014106
