month,observed_per_period,fitted_per_period,fitted_cumulative
2025-01-01,277.91249,449.86937576507233,449.86937576507233
2025-02-01,614.743154,451.5262039046177,901.39557966969
2025-03-01,510.55696,449.0428973810874,1350.4384770507775
2025-04-01,480.115726,442.50980695750513,1792.9482840082826
2025-05-01,436.203136,432.16108980533113,2225.1093738136137
2025-06-01,385.849616,418.35716461526044,2643.466538428874
2025-07-01,350.480297,401.55874115735605,3045.02527958623
2025-08-01,319.266449,382.29553872484894,3427.320818311079
2025-09-01,333.000513,361.1331591364965,3788.4539774475757
2025-10-01,355.282656,338.64137827556397,4127.09535572314
2025-11-01,345.707274,315.3664802584881,4442.461835981628
2025-12-01,328.865716,291.80936468893196,4734.27120067056
2026-01-01,,268.41020748475876,5002.681408155318
2026-02-01,,245.53961257230185,5248.22102072762
2026-03-01,,223.49555760200383,5471.716578329624
2026-04-01,,202.505049004355,5674.221627333979
2026-05-01,,182.7292446875872,5856.950872021566
2026-06-01,,164.27082829797564,6021.221700319542
2026-07-01,,147.18256639150422,6168.404266711046
2026-08-01,,131.47619090041553,6299.880457611462
2026-09-01,,117.13097723939518,6417.011434850857
2026-10-01,,104.1016013123708,6521.113036163228
2026-11-01,,92.32503850163357,6613.438074664861
2026-12-01,,81.72640744180717,6695.164482106668
