month,observed_per_period,fitted_per_period,fitted_cumulative,transfer_fitted_per_period,transfer_fitted_cumulative,transfer_source_platform,transfer_p,transfer_q,transfer_M
2025-01-01,277.91249,449.86937576507233,449.86937576507233,271.490477637032,271.490477637032,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2025-02-01,614.743154,451.5262039046177,901.39557966969,300.83689275335644,572.3273703903884,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2025-03-01,510.55696,449.0428973810874,1350.4384770507775,329.77078465697105,902.0981550473595,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2025-04-01,480.115726,442.50980695750513,1792.9482840082826,357.23082029960267,1259.3289753469621,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2025-05-01,436.203136,432.16108980533113,2225.1093738136137,382.0460292213211,1641.3750045682832,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2025-06-01,385.849616,418.35716461526044,2643.466538428874,403.0214911522901,2044.3964957205733,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2025-07-01,350.480297,401.55874115735605,3045.02527958623,419.0462057047955,2463.442701425369,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2025-08-01,319.266449,382.29553872484894,3427.320818311079,429.2092013868678,2892.6519028122366,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2025-09-01,333.000513,361.1331591364965,3788.4539774475757,432.9048619256723,3325.556764737909,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2025-10-01,355.282656,338.64137827556397,4127.09535572314,429.9076038674639,3755.464368605373,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2025-11-01,345.707274,315.3664802584881,4442.461835981628,420.4005990109522,4175.864967616325,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2025-12-01,328.865716,291.80936468893196,4734.27120067056,404.95241512952543,4580.81738274585,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2026-01-01,,268.41020748475876,5002.681408155318,384.4465672455817,4965.263949991432,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2026-02-01,,245.53961257230185,5248.22102072762,359.978507003716,5325.242456995148,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2026-03-01,,223.49555760200383,5471.716578329624,332.7396956530647,5657.982152648213,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2026-04-01,,202.505049004355,5674.221627333979,303.90810324805534,5961.890255896268,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2026-05-01,,182.7292446875872,5856.950872021566,274.5597441308182,6236.450000027086,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2026-06-01,,164.27082829797564,6021.221700319542,245.60892545719526,6482.058925484282,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2026-07-01,,147.18256639150422,6168.404266711046,217.77810377398873,6699.83702925827,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2026-08-01,,131.47619090041553,6299.880457611462,191.5932355315872,6891.430264789858,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2026-09-01,,117.13097723939518,6417.011434850857,167.39786447065217,7058.82812926051,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2026-10-01,,104.1016013123708,6521.113036163228,145.378664945345,7204.206794205855,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2026-11-01,,92.32503850163357,6613.438074664861,125.59607148564919,7329.802865691504,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
2026-12-01,,81.72640744180717,6695.164482106668,108.0152254588711,7437.818091150375,chatgpt.com,0.031949662292835246,0.14452594406529184,8041.181021006854
